Model,Price,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Location
AudiA62.0TDIPREMIUM,1092599,91533,2012,Second Owner,Diesel,AUTOMATIC,Pune
MarutiWagonR1.0,171599,115194,2010,First Owner,Petrol,MANUAL,Chennai
MarutiCelerio,339099,31415,2015,Third Owner,Petrol,MANUAL,Kochi
ToyotaCorollaAltisD4D,553264,79126,2013,First Owner,Diesel,MANUAL,Ahmedabad
HondaBrio1.2SMTI,411398,46727,2015,Third Owner,Petrol,MANUAL,Kochi
Hyundaii10ERA1.1,160099,144628,2010,Second Owner,Petrol + CNG,MANUAL,Mumbai
MarutiAltoK10,221699,70413,2011,First Owner,Petrol,MANUAL,Mumbai
HondaJazz1.2V,572899,42651,2016,First Owner,Petrol,AUTOMATIC,Mumbai
HyundaiNEWSANTROASTA1.1,539099,2099,2018,First Owner,Petrol,AUTOMATIC,Mumbai
HyundaiGrandi10SPORTS1.2,444099,54472,2017,First Owner,Petrol,MANUAL,Kolkata
MarutiAlto800,272999,28126,2016,Second Owner,Petrol,MANUAL,Hyderabad
MarutiSwiftDzireVXI1.2BS,333624,69541,2012,First Owner,Petrol,MANUAL,Pune
MahindraScorpioS6,740399,27807,2015,First Owner,Diesel,MANUAL,Chennai
MarutiWagonR,142117,23030,2009,Second Owner,Petrol,MANUAL,Delhi
HondaCitySMT,314999,70901,2011,Third Owner,Petrol,MANUAL,Kolkata
MarutiRitz,210699,24635,2011,First Owner,Petrol,MANUAL,Kochi
MarutiIGNISDELTA1.2K12,532599,39254,2017,First Owner,Petrol,AUTOMATIC,Kolkata
MarutiAltoK10,312699,15551,2017,Second Owner,Petrol,MANUAL,Delhi
HondaAmaze1.2SATI,578340,30329,2017,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiSwift,399099,92498,2014,First Owner,Diesel,MANUAL,Kochi
HondaBrio1.2EXMTI,253099,57063,2012,First Owner,Petrol,MANUAL,Delhi
MarutiSwiftDzireVDIBS,379020,48585,2012,First Owner,Diesel,MANUAL,Mumbai
MarutiBalenoDELTA1.2,586299,33849,2018,First Owner,Petrol,MANUAL,Delhi
MarutiDzire,754799,52827,2018,First Owner,Diesel,MANUAL,Coimbatore
HyundaiGrandi10SPORTZ1.2KAPPA,469799,76685,2016,First Owner,Petrol,MANUAL,Ahmedabad
ToyotaInnova2.5VX7STRBS,1155999,227391,2014,First Owner,Diesel,MANUAL,Ahmedabad
HyundaiCreta1.6SX(O),845899,100803,2015,First Owner,Diesel,AUTOMATIC,Delhi
MarutiSwift,427799,6073,2014,First Owner,Petrol,MANUAL,Mumbai
FordEcosport1.5TITANIUMTI,559299,44368,2015,First Owner,Petrol,MANUAL,Bangalore
MarutiSwiftDzireVXI,231499,27093,2009,First Owner,Petrol,MANUAL,Chennai
DatsunRediGoT,233299,30380,2016,First Owner,Petrol,MANUAL,Hyderabad
ToyotaCorollaAltis,429999,96290,2012,First Owner,Petrol,MANUAL,Delhi
MarutiSwift,297299,108594,2012,First Owner,Petrol,MANUAL,Kolkata
HyundaiCreta1.6SX,824499,83869,2015,First Owner,Diesel,AUTOMATIC,Kolkata
MahindraScorpioSLEBS,417420,50594,2012,First Owner,Diesel,MANUAL,Delhi
MarutiSX4,228500,48883,2009,Third Owner,Petrol,MANUAL,Ahmedabad
ToyotaCorollaAltis1.8,294099,73413,2009,Second Owner,Petrol,AUTOMATIC,Mumbai
MahindraScorpio,894500,48040,2014,First Owner,Diesel,MANUAL,Kochi
HondaCityVMT,507199,34377,2013,First Owner,Petrol,MANUAL,Kolkata
VolkswagenVentoCOMFORTLINEMT,317299,67198,2014,First Owner,Petrol,MANUAL,Mumbai
HondaCivic1.8V,258699,90284,2010,First Owner,Petrol,MANUAL,Coimbatore
HondaWR-V1.2i-VTECVX,819497,18331,2018,First Owner,Petrol,MANUAL,Kochi
Hyundaii10MAGNA1.1,285699,28046,2014,First Owner,Petrol,MANUAL,Jaipur
MarutiSwift,262099,96207,2011,First Owner,Petrol,MANUAL,Coimbatore
MarutiSwiftDzire,419399,81824,2014,First Owner,Diesel,MANUAL,Mumbai
MarutiAlto800,331599,2378,2018,First Owner,Petrol,MANUAL,Mumbai
MarutiAltoK10,169831,49323,2012,First Owner,Petrol,MANUAL,Delhi
HyundaiGrandi10SPORTZ1.2KAPPA,454499,30367,2016,First Owner,Petrol,MANUAL,Hyderabad
HondaCityZX1.5VTEC,197099,139344,2008,First Owner,Petrol,MANUAL,Kolkata
HyundaiGrandi10SPORTZ1.2KAPPA,584699,6891,2019,First Owner,Petrol,MANUAL,Kochi
HyundaiGrandi10ASTA1.2KAPPA,414399,60827,2015,First Owner,Petrol,MANUAL,Kochi
Hyundaii20ASTA,456099,23576,2014,First Owner,Petrol,MANUAL,Hyderabad
HyundaiElitei20ASTA1.2DUAL,793199,27247,2018,First Owner,Petrol,MANUAL,Pune
MarutiNewWagon-RLXICNG1.0,530299,43853,2019,First Owner,Petrol + CNG,AUTOMATIC,Kolkata
VolkswagenVentoCOMFORTLINE,387899,82081,2014,First Owner,Diesel,MANUAL,Mumbai
TataNEXONXM,684899,8526,2019,First Owner,Petrol,MANUAL,Hyderabad
VolkswagenVentoHIGHLINE,339299,81990,2013,First Owner,Petrol,MANUAL,Bangalore
HondaCitySMT,252099,30786,2008,First Owner,Petrol,MANUAL,Pune
BMWX1SDRIVE,723499,50513,2011,First Owner,Diesel,AUTOMATIC,Kolkata
MarutiVitaraBrezzaVDI,830014,44476,2017,First Owner,Diesel,MANUAL,Mumbai
HondaBrio1.2SMTI,401463,14999,2015,First Owner,Petrol,MANUAL,Jaipur
MarutiWagonR1.0,228899,34399,2011,First Owner,Petrol,MANUAL,Jaipur
MarutiSwift,372999,82725,2014,First Owner,Diesel,MANUAL,Hyderabad
MarutiIGNISDELTA1.2,401599,49227,2017,First Owner,Petrol,MANUAL,Bangalore
VolkswagenPoloHIGHLINE1.6L,347599,43117,2011,First Owner,Petrol,MANUAL,Bangalore
MarutiSwiftDzireVXI1.2BS,247999,73981,2011,First Owner,Petrol,MANUAL,Kochi
HyundaiSantroXingGL,191299,70749,2012,First Owner,Petrol,MANUAL,Delhi
HondaMobilio1.5SI,486579,19010,2015,First Owner,Petrol,MANUAL,Coimbatore
MarutiWagonR1.0LXI,265599,52987,2012,Second Owner,Petrol + CNG,MANUAL,Coimbatore
MarutiWagonR1.0,290899,855881,2010,First Owner,Petrol,MANUAL,Coimbatore
HyundaiElitei20ASTA1.4,589399,116652,2015,First Owner,Diesel,MANUAL,Mumbai
HyundaiEonMAGNA,276399,68662,2015,Second Owner,Petrol + CNG,MANUAL,Kochi
MarutiZenEstilo,177499,42784,2010,First Owner,Petrol,MANUAL,Delhi
MarutiAltoK10,240199,62717,2011,Second Owner,Petrol,MANUAL,Bangalore
RenaultKwidRXT,296999,32464,2018,First Owner,Petrol,MANUAL,Mumbai
VolkswagenPoloHIGHLINE1.2L,328013,30714,2013,First Owner,Petrol,MANUAL,Hyderabad
MarutiSwift,392599,22659,2012,First Owner,Petrol,MANUAL,Jaipur
FordFiestaTREND,266299,94092,2011,Second Owner,Petrol,MANUAL,Coimbatore
HyundaiGrandi10SPORTZ1.1CRDISPECIAL,347699,39663,2014,First Owner,Diesel,AUTOMATIC,Chennai
FordEcosport1.5TITANIUMTDCI,422399,136004,2013,Third Owner,Diesel,MANUAL,Coimbatore
MarutiSwiftDzire,329199,151356,2010,First Owner,Diesel,MANUAL,Bangalore
MarutiSX4,258799,166925,2012,Second Owner,Diesel,MANUAL,Hyderabad
HyundaiGrandi10Sportz(O)1.2,389299,71996,2017,First Owner,Petrol,AUTOMATIC,Coimbatore
MarutiErtigaVDI,447899,104187,2014,First Owner,Diesel,MANUAL,Hyderabad
SkodaLauraELEGANCE2.0TDICR,307499,187692,2011,Third Owner,Diesel,AUTOMATIC,Coimbatore
MarutiAltoK10,154899,94362,2010,Second Owner,Petrol,MANUAL,Mumbai
HyundaiEonDLITE,136799,41059,2013,First Owner,Petrol,MANUAL,Kolkata
MarutiWagonR1.0,388699,46468,2014,Second Owner,Petrol,MANUAL,Chennai
MarutiCiazALPHA1.5MTVVT,962499,12269,2018,First Owner,Petrol,AUTOMATIC,Pune
MarutiWagonR1.0LXI,416499,52280,2017,First Owner,Petrol + CNG,MANUAL,Kolkata
MarutiBalenoDELTADDIS,678499,27623,2018,First Owner,Diesel,MANUAL,Pune
TataNanoXT,124999,30376,2014,First Owner,Petrol,MANUAL,Hyderabad
MarutiWagonR1.0LXI,395899,62589,2018,Second Owner,Petrol + CNG,MANUAL,Hyderabad
MarutiCelerioVXI,307699,136962,2014,Second Owner,Petrol,AUTOMATIC,Mumbai
HondaCitySVMT,690099,22016,2017,Second Owner,Petrol,MANUAL,Hyderabad
BMW3Series,1042699,57079,2012,First Owner,Diesel,AUTOMATIC,Hyderabad
RenaultKwidRXT1.0EASY-R,420199,11194,2017,First Owner,Petrol,AUTOMATIC,Jaipur
MarutiCelerioVXI,401599,14225,2015,Second Owner,Petrol,AUTOMATIC,Jaipur
HondaJazz1.2V,626499,18439,2016,First Owner,Petrol,AUTOMATIC,Pune
Hyundaii10MAGNA1.2,253136,53501,2012,First Owner,Petrol + CNG,MANUAL,Pune
MarutiSwiftZXI+BS,723499,24230,2018,First Owner,Petrol,AUTOMATIC,Kolkata
MarutiSwiftDzireVXI1.2BS,456699,93657,2015,First Owner,Petrol,MANUAL,Delhi
HondaCityVMT,254199,132921,2010,First Owner,Petrol,MANUAL,Mumbai
MarutiVitaraBrezza,761999,24367,2016,First Owner,Diesel,MANUAL,Coimbatore
MarutiZenEstilo,254853,46535,2010,First Owner,Petrol,MANUAL,Ahmedabad
HyundaiCreta1.4S,785099,59352,2016,Second Owner,Diesel,AUTOMATIC,Pune
HyundaiXcentSX1.1,284499,140044,2014,First Owner,Diesel,MANUAL,Kochi
MarutiWagonR1.0,376699,17291,2013,First Owner,Petrol,MANUAL,Kochi
MarutiCelerioVXI,370199,23897,2015,First Owner,Petrol,AUTOMATIC,Delhi
MarutiVitaraBrezza,887599,12581,2018,First Owner,Diesel,MANUAL,Hyderabad
HyundaiNEWSANTROSPORTZ,513299,7743,2019,First Owner,Petrol,AUTOMATIC,Kolkata
HyundaiCreta1.6CRDISXPLUS,891199,70349,2017,Second Owner,Diesel,AUTOMATIC,Bangalore
HyundaiElitei201.4CRDIASTA,526899,64106,2015,Second Owner,Diesel,MANUAL,Bangalore
MarutiSwiftDzire,422751,36839,2013,First Owner,Diesel,MANUAL,Chennai
HondaCityVMT,609299,48845,2014,First Owner,Petrol,MANUAL,Coimbatore
HyundaiCreta1.6CRDISXPLUS,1246699,22608,2017,First Owner,Diesel,AUTOMATIC,Hyderabad
RenaultDuster85PS,402399,73503,2013,Second Owner,Diesel,MANUAL,Mumbai
Hyundaii20MAGNAO,295885,64703,2013,First Owner,Petrol,MANUAL,Kochi
HyundaiGrandi10SPORTZAT1.2KAPPA,565099,20935,2018,First Owner,Petrol,AUTOMATIC,Kochi
MarutiSwift,483499,21714,2017,Second Owner,Petrol,MANUAL,Kochi
MarutiWagonR1.0LXI,272099,99966,2012,First Owner,Petrol + CNG,MANUAL,Kolkata
MarutiSwiftDzireVDIBS,456399,75547,2013,Second Owner,Diesel,MANUAL,Mumbai
MarutiVitaraBrezza,883799,24353,2019,First Owner,Diesel,MANUAL,Chennai
ToyotaEtiosLiva,326099,67401,2013,First Owner,Diesel,MANUAL,Bangalore
MarutiWagonR1.0LXI,349575,75341,2013,Second Owner,Petrol + CNG,MANUAL,Mumbai
Hyundaii10SPORTZ1.2,320570,43617,2012,Second Owner,Petrol,MANUAL,Chennai
MarutiSwift,474399,75644,2015,First Owner,Petrol,MANUAL,Coimbatore
Hyundaii20MAGNAO,317599,39086,2011,First Owner,Petrol,MANUAL,Coimbatore
HondaBrio1.2SMTI,320099,52290,2015,First Owner,Petrol,MANUAL,Pune
MarutiAlto800,261499,8267,2017,First Owner,Petrol,MANUAL,Jaipur
MarutiSwiftDzireVXI1.2BS,377750,86980,2012,First Owner,Petrol,MANUAL,Kolkata
MarutiZenEstilo,248099,32137,2011,Second Owner,Petrol,MANUAL,Bangalore
HondaCityV,420399,51808,2012,Second Owner,Petrol,AUTOMATIC,Kochi
MarutiErtiga,408199,83719,2012,First Owner,Diesel,MANUAL,Mumbai
HyundaiGrandi10SPORTZ(O)1.2AT,541500,20037,2017,First Owner,Petrol,AUTOMATIC,Mumbai
HyundaiSantroXingGL,256199,91014,2014,First Owner,Petrol + CNG,MANUAL,Delhi
MarutiRitz,258799,82092,2010,First Owner,Diesel,MANUAL,Kolkata
MarutiVitaraBrezzaVDI,638199,64429,2017,First Owner,Diesel,MANUAL,Mumbai
ToyotaInnova2.5VX8STRBS,818599,67180,2014,First Owner,Diesel,MANUAL,Coimbatore
MarutiErtiga,452699,125259,2012,First Owner,Petrol,MANUAL,Kochi
HondaCityVXCVT,708899,36119,2015,First Owner,Petrol,AUTOMATIC,Ahmedabad
MarutiSwift,333240,33742,2013,First Owner,Petrol,MANUAL,Delhi
NissanSunnyXL,181899,196982,2012,First Owner,Diesel,MANUAL,Chennai
MarutiSwift,356999,86246,2012,First Owner,Petrol,MANUAL,Coimbatore
ToyotaEtiosLiva,318099,61443,2012,First Owner,Diesel,MANUAL,Ahmedabad
MarutiZenEstilo,78599,97341,2008,Second Owner,Petrol + CNG,MANUAL,Chennai
HyundaiElitei201.2SPORTSPLUS,698399,51372,2019,First Owner,Petrol,AUTOMATIC,Delhi
MarutiWagonR1.0VXI+(O),441399,21187,2017,First Owner,Petrol,AUTOMATIC,Chennai
HondaBrio1.2SMTI,373799,23011,2013,Second Owner,Petrol,MANUAL,Chennai
MarutiSwift,489399,28652,2014,First Owner,Diesel,MANUAL,Mumbai
MarutiAltoK10,346099,54173,2018,First Owner,Petrol,MANUAL,Kolkata
MarutiWagonR1.0,235699,96735,2013,Second Owner,Petrol,MANUAL,Pune
MarutiAlto,167999,48254,2010,First Owner,Petrol,MANUAL,Pune
SsangyongRexton,475399,72550,2013,First Owner,Diesel,MANUAL,Kolkata
MarutiBalenoALPHADDIS,589499,88453,2016,First Owner,Diesel,MANUAL,Coimbatore
MarutiSwiftDzireVDIBS,333399,105059,2011,Second Owner,Diesel,MANUAL,Jaipur
MarutiZenEstilo,183399,71023,2008,Second Owner,Petrol,MANUAL,Kolkata
HyundaiElitei20SPORTZ,506699,91244,2015,First Owner,Diesel,MANUAL,Delhi
RenaultKwidRXT1.0EASY-RAT,458299,5726,2019,First Owner,Petrol,AUTOMATIC,Coimbatore
MarutiAltoK10VXI,361399,15293,2017,First Owner,Petrol,MANUAL,Coimbatore
MarutiSwiftDzireVDIBS,414599,95770,2014,First Owner,Diesel,MANUAL,Coimbatore
HyundaiCreta1.6SXPLUS,758699,111100,2016,First Owner,Diesel,MANUAL,Bangalore
HyundaiCreta1.6SX,984999,76226,2016,First Owner,Diesel,AUTOMATIC,Delhi
MarutiSwift,336899,64993,2011,First Owner,Diesel,MANUAL,Pune
BMW3Series,1505899,51266,2015,Second Owner,Diesel,AUTOMATIC,Coimbatore
MarutiSwiftZXIPLUS,741499,15415,2019,First Owner,Petrol,AUTOMATIC,Mumbai
HondaCityVX(O),541599,84851,2014,First Owner,Petrol,AUTOMATIC,Jaipur
SkodaRapid1.5TDIMTAmbition,586799,83967,2016,First Owner,Diesel,MANUAL,Kolkata
HondaCityVMT,525799,94066,2014,First Owner,Petrol,MANUAL,Kochi
MarutiAltoK10,306799,70048,2015,First Owner,Petrol,MANUAL,Coimbatore
NissanSunnyXL,254799,116831,2012,First Owner,Diesel,MANUAL,Delhi
HyundaiElitei201.4CRDIASTA,653299,83167,2016,First Owner,Diesel,MANUAL,Kolkata
HondaCitySMT,451699,44987,2010,First Owner,Petrol,MANUAL,Pune
HondaAmaze1.2VMT,663799,19222,2018,First Owner,Petrol,AUTOMATIC,Mumbai
MarutiAlto800,277099,47169,2013,First Owner,Petrol,MANUAL,Mumbai
HondaCitySMT,212899,72880,2008,First Owner,Petrol,MANUAL,Hyderabad
HyundaiVerna,281702,53029,2009,Second Owner,Petrol,MANUAL,Hyderabad
MarutiSwiftVDI,408599,89947,2014,First Owner,Diesel,MANUAL,Chennai
MarutiWagonR1.0,428999,53211,2018,Second Owner,Petrol,MANUAL,Ahmedabad
HyundaiGrandi10SPORTZ1.1,294461,97600,2014,First Owner,Diesel,MANUAL,Kolkata
Hyundaii20MAGNAO,314399,47774,2012,First Owner,Petrol,MANUAL,Ahmedabad
MarutiZenEstilo,134099,35561,2009,Second Owner,Petrol,MANUAL,Pune
MarutiSwiftVDI,440099,25850,2015,First Owner,Diesel,MANUAL,Coimbatore
MarutiSwift,385199,146312,2012,First Owner,Diesel,MANUAL,Chennai
Hyundaii20MAGNAO,344599,24034,2012,First Owner,Petrol,MANUAL,Coimbatore
MarutiSwift,339499,27649,2012,First Owner,Petrol,MANUAL,Kochi
HondaMobilio1.5VOPTI,389999,70258,2014,First Owner,Diesel,MANUAL,Hyderabad
MarutiAlto800,295699,21745,2017,First Owner,Petrol,MANUAL,Mumbai
HondaCityV,1004199,9671,2019,First Owner,Petrol,AUTOMATIC,Bangalore
HyundaiEonERA,181299,43604,2013,First Owner,Petrol,MANUAL,Kochi
MarutiAltoK10,240299,35810,2014,Second Owner,Petrol,MANUAL,Coimbatore
Hyundaii10SPORTZ,208120,59044,2008,First Owner,Petrol,MANUAL,Hyderabad
MarutiRitzVXIBS,261409,55012,2010,First Owner,Petrol,MANUAL,Jaipur
ToyotaInnovaCrysta2.8ZXAT7,1952397,56600,2018,First Owner,Diesel,AUTOMATIC,Pune
Hyundaii20ERA,284199,37076,2012,Second Owner,Petrol,MANUAL,Kochi
MarutiWagonR1.0LXICNGLIMITED,333399,78461,2014,First Owner,Petrol + CNG,AUTOMATIC,Jaipur
Hyundaii20MAGNAO,339844,51654,2011,First Owner,Petrol,MANUAL,Ahmedabad
MarutiBalenoDELTA1.2,548999,28786,2018,First Owner,Petrol,MANUAL,Coimbatore
MarutiSwift,344499,73151,2010,Second Owner,Diesel,MANUAL,Mumbai
VolkswagenPoloCOMFORTLINE1.2L,355530,66519,2016,Second Owner,Petrol,MANUAL,Kolkata
MahindraTharCRDE4X4BS,822193,30586,2017,Second Owner,Diesel,MANUAL,Coimbatore
HondaCityVXMT,668999,48085,2016,First Owner,Petrol,MANUAL,Jaipur
Hyundaii20SPORTZ1.4,294799,55764,2012,Second Owner,Diesel,MANUAL,Hyderabad
HondaBrio1.2SMTI,300499,33783,2012,First Owner,Petrol,MANUAL,Mumbai
MarutiZenEstilo,151015,68075,2008,First Owner,Petrol,MANUAL,Bangalore
HondaAmaze1.5SMTI,330690,99345,2013,Second Owner,Diesel,MANUAL,Hyderabad
RenaultDuster85PS,469199,118398,2013,First Owner,Diesel,MANUAL,Mumbai
MarutiAlto800,290999,10123,2018,First Owner,Petrol,MANUAL,Kochi
MahindraXUV500W10,1028708,64051,2016,First Owner,Diesel,AUTOMATIC,Pune
MarutiAltoK10,180199,21023,2012,Second Owner,Petrol,MANUAL,Delhi
SkodaSuperb1.8TSISTYLE,1429399,37870,2016,First Owner,Petrol,AUTOMATIC,Delhi
RenaultKwidCLIMBER1.0,427899,33823,2018,First Owner,Petrol,AUTOMATIC,Kolkata
MarutiErtigaVDI,402399,87825,2013,First Owner,Diesel,MANUAL,Mumbai
FordEcosport1.5TITANIUM,534799,111524,2014,First Owner,Diesel,MANUAL,Bangalore
Hyundaii10SPORTZ1.2AT,364499,69848,2012,First Owner,Petrol,AUTOMATIC,Coimbatore
FordEcosport1.5TREND,415799,66940,2013,First Owner,Diesel,MANUAL,Jaipur
MarutiWagonR1.0,231299,48546,2011,Second Owner,Petrol,MANUAL,Chennai
VolkswagenPoloCOMFORTLINE1.2L,302899,40836,2012,First Owner,Petrol,MANUAL,Delhi
HyundaiGrandi10MAGNA1.2KAPPA,383599,23213,2017,First Owner,Petrol,MANUAL,Hyderabad
MarutiAltoK10,334599,20127,2014,Second Owner,Petrol,MANUAL,Hyderabad
MarutiAlto,229399,35190,2012,Second Owner,Petrol,MANUAL,Hyderabad
ToyotaInnova2.5VX7STRBS,1016899,111562,2015,First Owner,Diesel,MANUAL,Jaipur
MarutiAlto,222199,41967,2011,First Owner,Petrol,MANUAL,Delhi
ToyotaFortuner3.0MT,1189399,46415,2013,First Owner,Diesel,MANUAL,Hyderabad
ToyotaInnovaCrysta2.4VX8,1457099,183456,2017,First Owner,Diesel,MANUAL,Jaipur
MarutiAlto,252599,26363,2009,First Owner,Petrol,MANUAL,Chennai
FordEcosport1.5TITANIUM,696599,39286,2015,First Owner,Diesel,MANUAL,Pune
FordFigo1.4EXI,246999,100669,2015,First Owner,Diesel,MANUAL,Ahmedabad
HondaCityVMT,336699,135778,2010,First Owner,Petrol,MANUAL,Coimbatore
MarutiAlto,134799,42016,2010,First Owner,Petrol,MANUAL,Mumbai
MarutiErtiga,549199,30956,2015,Second Owner,Petrol,MANUAL,Pune
HondaCitySMT,263899,111451,2010,First Owner,Petrol,MANUAL,Mumbai
MarutiWagonR1.0,390399,57275,2014,First Owner,Petrol,MANUAL,Hyderabad
MarutiAltoK10,128899,83421,2010,Second Owner,Petrol,MANUAL,Delhi
MarutiAlto800,335661,16787,2017,First Owner,Petrol,MANUAL,Hyderabad
Hyundaii10SPORTZ1.2,345999,15260,2012,First Owner,Petrol,MANUAL,Kochi
HondaAmaze1.5SMTI,343899,55933,2014,First Owner,Diesel,MANUAL,Mumbai
MarutiNewWagon-RLXI1.0,456099,9028,2019,First Owner,Petrol,AUTOMATIC,Chennai
MarutiDzire,741599,19717,2019,First Owner,Diesel,MANUAL,Mumbai
MarutiSwiftDzireVDIBS,470199,61450,2013,First Owner,Diesel,MANUAL,Delhi
VolkswagenPoloHIGHLINE1.2L,416299,46682,2016,Third Owner,Petrol,MANUAL,Kochi
MarutiWagonR1.0,402899,12380,2015,First Owner,Petrol,MANUAL,Hyderabad
HyundaiElitei20ASTA,730599,45552,2017,First Owner,Petrol,MANUAL,Hyderabad
HondaAccord2.4ATI,275499,54858,2008,Second Owner,Petrol,AUTOMATIC,Chennai
HondaCitySMT,337199,127174,2011,First Owner,Petrol,MANUAL,Coimbatore
MarutiSwift,504255,38597,2015,First Owner,Petrol,MANUAL,Mumbai
MarutiSwiftDzireVDIBS,289999,128836,2012,First Owner,Diesel,MANUAL,Kolkata
MarutiAltoK10,346399,7960,2015,First Owner,Petrol,MANUAL,Coimbatore
RenaultKwidRXT,378799,8500,2016,First Owner,Petrol,MANUAL,Pune
Hyundaii10MAGNA1.2,248899,32101,2011,First Owner,Petrol,MANUAL,Kochi
Hyundaii10MAGNA1.2,285199,57031,2013,Second Owner,Petrol,MANUAL,Chennai
MarutiAlto800,280999,21691,2017,First Owner,Petrol,MANUAL,Kochi
FordEcosport1.5TITANIUMPLUSTIVCT,859499,16856,2017,First Owner,Petrol,AUTOMATIC,Coimbatore
Hyundaii10MAGNA1.2,251399,88696,2012,First Owner,Petrol,MANUAL,Ahmedabad
MarutiWagonR1.0,420399,20550,2017,First Owner,Petrol,MANUAL,Pune
ToyotaEtios,258899,160368,2012,Second Owner,Diesel,MANUAL,Hyderabad
HyundaiVernaFLUIDIC1.6EX,305599,88812,2011,First Owner,Diesel,MANUAL,Coimbatore
MarutiSwift,288699,95044,2010,First Owner,Petrol,MANUAL,Ahmedabad
MarutiSwiftDzireVXI1.2BS,410599,59395,2014,First Owner,Petrol,MANUAL,Pune
RenaultKwidCLIMBER,321814,14802,2017,Second Owner,Petrol,AUTOMATIC,Hyderabad
HyundaiElitei20ASTA1.2,644000,23136,2017,First Owner,Petrol,MANUAL,Kolkata
MarutiCiazZDI+,695799,76673,2016,First Owner,Diesel,MANUAL,Kochi
HyundaiGrandi10SPORTS1.2,510799,21601,2018,First Owner,Petrol,MANUAL,Chennai
MarutiCelerioVXI,448299,19290,2016,Second Owner,Petrol,AUTOMATIC,Mumbai
MarutiCelerioVXI,406099,53799,2014,First Owner,Petrol,AUTOMATIC,Hyderabad
HondaBrio1.2SMTI,223399,103826,2012,First Owner,Petrol,MANUAL,Kolkata
ToyotaFortuner3.0MT,1012699,93756,2011,First Owner,Diesel,MANUAL,Hyderabad
VolkswagenPoloHIGHLINE1.5L,550699,68093,2015,Second Owner,Diesel,MANUAL,Hyderabad
HondaBrio1.2SMTI,257199,118056,2012,Second Owner,Petrol,MANUAL,Chennai
MarutiAltoK10,241599,45540,2017,Third Owner,Petrol,MANUAL,Mumbai
MarutiAlto800,261499,57525,2013,First Owner,Petrol,MANUAL,Chennai
HondaCityV,465599,104084,2013,First Owner,Petrol,AUTOMATIC,Kochi
HondaCitySMT,244699,73179,2009,Second Owner,Petrol,MANUAL,Mumbai
HondaBrio1.2SMTI,232999,39877,2012,First Owner,Petrol,MANUAL,Bangalore
HondaCivic1.8V,212199,76158,2009,First Owner,Petrol,MANUAL,Kolkata
HyundaiSantroXing,201599,102210,2009,Third Owner,Petrol,MANUAL,Delhi
MarutiSwiftDzireVXI1.2BS,312899,101605,2012,First Owner,Petrol,MANUAL,Mumbai
ToyotaInnovaCrysta2.4VX7,1817180,65165,2018,First Owner,Diesel,MANUAL,Hyderabad
MarutiAltoK10,278199,20994,2011,First Owner,Petrol,MANUAL,Bangalore
MarutiSwiftDzireVXI1.2BS,410799,63051,2014,First Owner,Petrol,MANUAL,Delhi
MarutiSwift,418399,66664,2015,First Owner,Petrol,MANUAL,Kolkata
MarutiSwift,425599,74031,2014,First Owner,Petrol,MANUAL,Chennai
HyundaiElitei20Sportz(O)1.4CRDi,496999,44073,2014,First Owner,Diesel,AUTOMATIC,Chennai
MarutiErtigaVXI,708599,108116,2017,First Owner,Petrol + CNG,MANUAL,Jaipur
VolkswagenVentoHIGHLINE,447499,71136,2013,First Owner,Diesel,MANUAL,Mumbai
ToyotaYARISJ,837499,26850,2018,First Owner,Petrol,AUTOMATIC,Kolkata
MarutiSwiftVDI,481799,98101,2015,First Owner,Diesel,MANUAL,Pune
MarutiSwiftDzireVXI1.2BS,430499,115096,2012,First Owner,Petrol,MANUAL,Hyderabad
HondaBrio1.2SMTI,331599,29164,2014,First Owner,Petrol,MANUAL,Mumbai
MarutiWagonR,122999,54099,2009,Second Owner,Petrol,MANUAL,Bangalore
ToyotaEtiosLivaD4D,191599,141262,2011,First Owner,Diesel,MANUAL,Pune
MarutiSwiftDzireVDIBS,300899,121168,2012,First Owner,Diesel,MANUAL,Mumbai
MarutiWagonR1.0LXI,380399,56328,2017,First Owner,Petrol + CNG,MANUAL,Kolkata
HyundaiEon,157199,68269,2011,Second Owner,Petrol,MANUAL,Mumbai
Hyundaii10SPORTZ1.2,354899,40807,2012,First Owner,Petrol,MANUAL,Pune
MarutiEeco5STRCNGWITHAC,407082,49185,2018,First Owner,Petrol + CNG,MANUAL,Mumbai
MarutiWagonR1.0,250200,34903,2013,Second Owner,Petrol,MANUAL,Pune
MarutiVitaraBrezzaLDI,801299,16077,2018,First Owner,Diesel,MANUAL,Coimbatore
MarutiErtigaZDIPLUS,689099,129011,2015,Second Owner,Diesel,MANUAL,Hyderabad
MarutiEeco5STRCNGWITHAC,317099,23719,2018,First Owner,Petrol + CNG,MANUAL,Hyderabad
MarutiAlto800,314799,10457,2019,First Owner,Petrol,MANUAL,Bangalore
MarutiZenEstilo,130999,38285,2009,First Owner,Petrol,MANUAL,Chennai
MarutiAltoK10,234199,68156,2012,Second Owner,Petrol,MANUAL,Kochi
MarutiRitz,350999,112264,2012,First Owner,Diesel,MANUAL,Kolkata
HondaBrio1.2SMTI,279399,76938,2014,First Owner,Petrol,MANUAL,Pune
MarutiSwiftDzireVDIBS,433983,62602,2013,First Owner,Diesel,MANUAL,Delhi
